site_id,trial_id,site_name,country,principal_investigator,enrollment_count,site_status
SITE-00296,TRL-0085,Brandishire Clinical Research Institute,Germany,Dr. Smith,24,Pending Activation
SITE-00297,TRL-0085,Heatherton Regional Cancer Center,Canada,Dr. Contreras,18,Pending Activation
SITE-00298,TRL-0086,Parkerfurt Medical Center,Canada,Dr. Parks,12,Pending Activation
SITE-00299,TRL-0086,Hannahport Medical Center,Germany,Dr. Richardson,8,Active
SITE-00300,TRL-0086,East Susan Regional Cancer Center,Brazil,Dr. Mendoza,15,Active
SITE-00301,TRL-0087,Adkinsstad University Hospital,Canada,Dr. Perry,200,Active
SITE-00302,TRL-0088,Toddborough University Hospital,Brazil,Dr. Gill,13,Closed
SITE-00303,TRL-0088,New Seanstad Community Health Network,Spain,Dr. Miller,6,Active
SITE-00304,TRL-0088,North Mariahaven University Hospital,Brazil,Dr. Harris,13,Pending Activation
SITE-00305,TRL-0088,East Mark Clinical Research Institute,United States,Dr. Meyer,14,Pending Activation
SITE-00306,TRL-0089,Lake Jamieshire Regional Cancer Center,Japan,Dr. Burns,190,Active
SITE-00307,TRL-0090,Stokesmouth Community Health Network,Japan,Dr. Anderson,139,Pending Activation
SITE-00308,TRL-0090,Bryantton Medical Center,Japan,Dr. Hansen,159,Closed
SITE-00309,TRL-0090,Jenniferfurt Community Health Network,United Kingdom,Dr. Scott,85,Active
SITE-00310,TRL-0090,Lake Jefferyland Clinical Research Institute,Australia,Dr. Williams,126,Active
SITE-00311,TRL-0091,Isabellaside Community Health Network,Brazil,Dr. Mcknight,77,Closed
SITE-00312,TRL-0091,South Anthonychester Community Health Network,Australia,Dr. White,55,Pending Activation
SITE-00313,TRL-0091,Port Darlene Clinical Research Institute,United Kingdom,Dr. Daniel,74,Pending Activation
SITE-00314,TRL-0091,Brooksfurt Community Health Network,India,Dr. West,49,Pending Activation
SITE-00315,TRL-0092,Bennettside Community Health Network,Brazil,Dr. Anderson,13,Active
SITE-00316,TRL-0092,Davidside Community Health Network,India,Dr. Long,15,Active
SITE-00317,TRL-0092,Lake Tiffany Community Health Network,South Africa,Dr. Davenport,36,Active
SITE-00318,TRL-0092,West Stevenside Community Health Network,South Africa,Dr. Coleman,26,Active
SITE-00319,TRL-0093,Morrowbury University Hospital,South Africa,Dr. Murray,37,Closed
SITE-00320,TRL-0093,West Jacob Medical Center,United Kingdom,Dr. Golden,23,Pending Activation
SITE-00321,TRL-0094,North Lisachester Regional Cancer Center,India,Dr. Mendez,75,Pending Activation
SITE-00322,TRL-0094,East Jamieville Regional Cancer Center,United States,Dr. Wheeler,93,Closed
SITE-00323,TRL-0094,Harperton Clinical Research Institute,South Africa,Dr. Sanchez,87,Closed
SITE-00324,TRL-0094,South Scottside Regional Cancer Center,Spain,Dr. Robinson,56,Active
SITE-00325,TRL-0094,East Williamport Community Health Network,Australia,Dr. Young,106,Pending Activation
SITE-00326,TRL-0095,Barbaramouth Medical Center,Canada,Dr. Young,12,Closed
SITE-00327,TRL-0095,Lake Adriana Medical Center,United Kingdom,Dr. Gutierrez,19,Pending Activation
SITE-00328,TRL-0095,Bruceshire Medical Center,United States,Dr. Hobbs,19,Closed
SITE-00329,TRL-0096,Lake Erika Medical Center,South Africa,Dr. Peters,63,Active
SITE-00330,TRL-0096,West Shellyfurt Medical Center,Australia,Dr. Floyd,54,Active
SITE-00331,TRL-0096,Heatherchester University Hospital,Canada,Dr. Hernandez,124,Active
SITE-00332,TRL-0097,Whiteside Regional Cancer Center,Brazil,Dr. Wells,191,Closed
SITE-00333,TRL-0097,West Meredith Regional Cancer Center,Canada,Dr. Thomas,111,Closed
SITE-00334,TRL-0098,Melendezside Community Health Network,Germany,Dr. Gutierrez,832,Pending Activation
SITE-00335,TRL-0099,Grantberg Medical Center,Germany,Dr. Price,79,Pending Activation
SITE-00336,TRL-0099,Jamesland Regional Cancer Center,South Africa,Dr. Nielsen,170,Active
SITE-00337,TRL-0099,Christopherborough Clinical Research Institute,United States,Dr. Williams,212,Active
SITE-00338,TRL-0100,Nunezton Regional Cancer Center,South Africa,Dr. Russo,61,Closed
SITE-00339,TRL-0100,Port Kathleen Community Health Network,Canada,Dr. Ramsey,53,Active
SITE-00340,TRL-0100,South Jason Clinical Research Institute,Australia,Dr. Meadows,51,Closed
SITE-00341,TRL-0101,Susantown University Hospital,United Kingdom,Dr. Lewis,75,Pending Activation
SITE-00342,TRL-0101,Lake David Medical Center,United States,Dr. Key,56,Pending Activation
SITE-00343,TRL-0102,Rochaborough Community Health Network,United States,Dr. Sanders,7,Active
SITE-00344,TRL-0102,New Marc Clinical Research Institute,India,Dr. Campbell,3,Active
SITE-00345,TRL-0102,Fergusonstad Community Health Network,United States,Dr. Parker,6,Closed
SITE-00346,TRL-0102,Williamfort Community Health Network,United States,Dr. Owens,9,Active
SITE-00347,TRL-0103,Gillmouth Medical Center,Canada,Dr. Rocha,35,Closed
SITE-00348,TRL-0103,Lawrenceton Clinical Research Institute,South Africa,Dr. Hart,30,Active
SITE-00349,TRL-0103,Lake Dustin Medical Center,Germany,Dr. Green,21,Pending Activation
SITE-00350,TRL-0103,Phillipsborough University Hospital,United Kingdom,Dr. Rivera,30,Pending Activation
SITE-00351,TRL-0103,Hudsonbury Community Health Network,Brazil,Dr. Porter,27,Pending Activation
SITE-00352,TRL-0103,Jonathanfort Community Health Network,Brazil,Dr. Levy,25,Active
SITE-00353,TRL-0104,Murraystad Clinical Research Institute,South Africa,Dr. Jackson,71,Active
SITE-00354,TRL-0104,Whiteside Regional Cancer Center,Japan,Dr. Mooney,157,Closed
SITE-00355,TRL-0104,New Arthurland Medical Center,South Africa,Dr. Landry,107,Pending Activation
SITE-00356,TRL-0105,Port Adamberg Clinical Research Institute,Canada,Dr. Kirby,7,Pending Activation
SITE-00357,TRL-0105,North Jasmine Regional Cancer Center,United States,Dr. Smith,9,Closed
SITE-00358,TRL-0105,Brooksfort Regional Cancer Center,South Africa,Dr. Hopkins,10,Closed
SITE-00359,TRL-0105,North Amandachester Regional Cancer Center,Canada,Dr. Smith,14,Active
SITE-00360,TRL-0105,Amandaport University Hospital,Canada,Dr. Smith,13,Active
SITE-00361,TRL-0105,Drakeburgh Community Health Network,Australia,Dr. Rodriguez,13,Active
SITE-00362,TRL-0106,New Eduardoborough University Hospital,Germany,Dr. Harvey,44,Closed
SITE-00363,TRL-0106,Lisaview Medical Center,South Africa,Dr. Norton,80,Closed
SITE-00364,TRL-0107,West Susanmouth Community Health Network,South Africa,Dr. Cunningham,26,Active
SITE-00365,TRL-0107,West Gabriella Regional Cancer Center,United Kingdom,Dr. Abbott,14,Closed
SITE-00366,TRL-0107,North Richardfurt Clinical Research Institute,Brazil,Dr. Tran,20,Pending Activation
SITE-00367,TRL-0107,Lake Albertburgh Medical Center,Australia,Dr. Miller,34,Closed
SITE-00368,TRL-0108,Newmanmouth Community Health Network,United Kingdom,Dr. Knight,61,Active
SITE-00369,TRL-0109,New Samanthabury Regional Cancer Center,Spain,Dr. Lewis,76,Pending Activation
SITE-00370,TRL-0109,Nelsonland Medical Center,India,Dr. Cohen,53,Active
SITE-00371,TRL-0109,Rachelshire Community Health Network,South Africa,Dr. Barrett,38,Active
SITE-00372,TRL-0110,Port Leonard Clinical Research Institute,Brazil,Dr. Ali,15,Closed
SITE-00373,TRL-0110,Port Lori Medical Center,United Kingdom,Dr. Nicholson,31,Active
SITE-00374,TRL-0110,West Franciscobury Medical Center,Australia,Dr. Knight,27,Active
SITE-00375,TRL-0110,Rhodesside Community Health Network,United Kingdom,Dr. Rivera,31,Closed
