result_id,compound_id,experiment_type,result_value,unit,result_date,technician,pass_fail
LAB-00499,CMP-0093,hERG Cardiotoxicity Screen,5.0,% inhibition at 10uM,2024-09-20,Michael Thompson,Fail
LAB-00500,CMP-0114,Metabolic Stability (Microsomal),112.7,min (t1/2),2026-08-13,Julia Norris,Fail
LAB-00501,CMP-0087,Metabolic Stability (Microsomal),23.8,min (t1/2),2022-10-05,Kevin Nguyen,Pass
LAB-00502,CMP-0071,Selectivity Panel,72.3,% selectivity,2025-02-28,Joshua Young,Fail
LAB-00503,CMP-0007,Selectivity Panel,80.5,% selectivity,2024-08-06,Holly Jimenez,Pass
LAB-00504,CMP-0035,Binding Affinity (SPR),2.2,nM (Kd),2023-07-22,Jacqueline Dickerson,Pass
LAB-00505,CMP-0074,Enzymatic Inhibition Assay,0.39,nM (IC50),2023-10-31,Carlos Johnston,Fail
LAB-00506,CMP-0007,Cell Viability Assay,58.0,% viability,2023-08-17,Devin Young,Fail
LAB-00507,CMP-0122,Solubility Assay,0.68,mg/mL,2024-06-10,Charles Haley,Pass
LAB-00508,CMP-0067,Metabolic Stability (Microsomal),153.8,min (t1/2),2023-04-24,Cassandra Porter,Pass
LAB-00509,CMP-0007,Binding Affinity (SPR),1.95,nM (Kd),2026-09-10,Kelly Le,Pass
LAB-00510,CMP-0054,Metabolic Stability (Microsomal),135.9,min (t1/2),2025-11-07,Justin Bradley,Pass
LAB-00511,CMP-0026,Metabolic Stability (Microsomal),7.4,min (t1/2),2024-04-21,Amy Cervantes,Pass
LAB-00512,CMP-0110,Selectivity Panel,29.6,% selectivity,2024-08-13,Joanna Cook,Pass
LAB-00513,CMP-0028,Binding Affinity (SPR),0.34,nM (Kd),2024-02-27,Tara Scott,Pass
LAB-00514,CMP-0017,Cell Viability Assay,68.6,% viability,2022-10-16,Sean Mccarty,Pass
LAB-00515,CMP-0028,Enzymatic Inhibition Assay,3.11,nM (IC50),2023-07-05,Mariah Thompson,Pass
LAB-00516,CMP-0020,Pharmacokinetic (PK) Study,19.02,hours (t1/2),2025-10-31,Michael Freeman,Fail
LAB-00517,CMP-0010,Selectivity Panel,96.8,% selectivity,2025-08-28,Jane Mitchell,Fail
LAB-00518,CMP-0052,Pharmacokinetic (PK) Study,2.84,hours (t1/2),2025-03-28,Christopher Morton,Pass
LAB-00519,CMP-0001,Binding Affinity (SPR),2.58,nM (Kd),2024-01-23,Laura Sweeney,Fail
LAB-00520,CMP-0053,Metabolic Stability (Microsomal),113.7,min (t1/2),2022-12-31,Darren Stewart,Fail
LAB-00521,CMP-0098,Metabolic Stability (Microsomal),76.1,min (t1/2),2023-11-17,Matthew Nelson,Fail
LAB-00522,CMP-0051,Pharmacokinetic (PK) Study,21.65,hours (t1/2),2024-06-28,Heidi Matthews,Pass
LAB-00523,CMP-0037,hERG Cardiotoxicity Screen,10.9,% inhibition at 10uM,2026-07-28,Clinton Johnson,Pass
LAB-00524,CMP-0068,Cell Viability Assay,26.1,% viability,2025-08-15,Teresa Haynes,Fail
LAB-00525,CMP-0149,Metabolic Stability (Microsomal),132.8,min (t1/2),2023-01-12,Brian Brown,Pass
LAB-00526,CMP-0051,hERG Cardiotoxicity Screen,3.9,% inhibition at 10uM,2026-03-23,Allison Sanders,Pass
LAB-00527,CMP-0080,Enzymatic Inhibition Assay,5.98,nM (IC50),2025-10-08,Dennis Moore,Pass
LAB-00528,CMP-0081,Metabolic Stability (Microsomal),166.2,min (t1/2),2025-05-01,Ellen Wright,Fail
LAB-00529,CMP-0081,Pharmacokinetic (PK) Study,16.43,hours (t1/2),2023-11-06,Bonnie Roberson,Fail
LAB-00530,CMP-0139,Cell Viability Assay,36.8,% viability,2022-10-29,Shannon Nguyen,Pass
LAB-00531,CMP-0053,Cell Viability Assay,29.6,% viability,2024-08-13,Kimberly Nelson,Pass
LAB-00532,CMP-0073,Solubility Assay,2.33,mg/mL,2024-06-28,Melissa Thompson,Pass
LAB-00533,CMP-0086,hERG Cardiotoxicity Screen,9.3,% inhibition at 10uM,2025-02-06,Madison Elliott,Pass
LAB-00534,CMP-0134,Selectivity Panel,96.2,% selectivity,2024-10-21,Emily Reed,Pass
LAB-00535,CMP-0083,Selectivity Panel,13.7,% selectivity,2024-11-13,Jessica Diaz,Fail
LAB-00536,CMP-0147,hERG Cardiotoxicity Screen,38.8,% inhibition at 10uM,2023-10-02,Aaron Ochoa,Pass
LAB-00537,CMP-0049,Metabolic Stability (Microsomal),50.8,min (t1/2),2026-02-07,John Smith,Fail
LAB-00538,CMP-0075,Solubility Assay,4.04,mg/mL,2026-05-26,Karen Smith,Pass
LAB-00539,CMP-0047,Enzymatic Inhibition Assay,10.96,nM (IC50),2024-06-07,David Smith,Pass
LAB-00540,CMP-0113,hERG Cardiotoxicity Screen,31.1,% inhibition at 10uM,2024-03-16,Justin Foster,Pass
LAB-00541,CMP-0064,Enzymatic Inhibition Assay,1.06,nM (IC50),2023-05-14,Jean Gray,Pass
LAB-00542,CMP-0066,hERG Cardiotoxicity Screen,32.1,% inhibition at 10uM,2023-10-06,David Duran,Pass
LAB-00543,CMP-0104,Selectivity Panel,16.5,% selectivity,2026-05-08,Melinda Mitchell,Pass
LAB-00544,CMP-0097,Cell Viability Assay,87.8,% viability,2025-09-06,Jennifer Castaneda,Pass
LAB-00545,CMP-0048,Binding Affinity (SPR),0.75,nM (Kd),2023-06-11,Mark Williamson,Fail
LAB-00546,CMP-0148,Selectivity Panel,1.9,% selectivity,2023-10-20,Chelsea Smith,Pass
LAB-00547,CMP-0011,Solubility Assay,0.75,mg/mL,2022-11-29,Charlene Garcia,Pass
LAB-00548,CMP-0008,Metabolic Stability (Microsomal),22.0,min (t1/2),2023-10-16,Monica Hall,Pass
LAB-00549,CMP-0058,Cell Viability Assay,92.9,% viability,2023-04-25,Glenn Collins DDS,Fail
LAB-00550,CMP-0145,Binding Affinity (SPR),1.02,nM (Kd),2026-09-14,Rick Rivera,Pass
LAB-00551,CMP-0122,Metabolic Stability (Microsomal),12.1,min (t1/2),2026-01-31,Amy Rowe,Pass
LAB-00552,CMP-0085,Solubility Assay,2.53,mg/mL,2022-12-31,Corey Skinner,Pass
LAB-00553,CMP-0131,Pharmacokinetic (PK) Study,23.13,hours (t1/2),2025-12-24,Barbara Tate,Fail
LAB-00554,CMP-0001,Metabolic Stability (Microsomal),30.0,min (t1/2),2023-09-16,Jessica Rojas,Fail
LAB-00555,CMP-0008,Enzymatic Inhibition Assay,12.2,nM (IC50),2022-11-05,Ray Boyd,Fail
LAB-00556,CMP-0135,Binding Affinity (SPR),0.49,nM (Kd),2026-08-21,Michael Collins,Pass
LAB-00557,CMP-0005,Binding Affinity (SPR),0.81,nM (Kd),2024-01-02,Amanda Pineda,Fail
LAB-00558,CMP-0042,Enzymatic Inhibition Assay,2.31,nM (IC50),2024-10-17,Mark Gonzalez,Pass
LAB-00559,CMP-0068,Binding Affinity (SPR),2.38,nM (Kd),2026-04-05,Claudia Rodriguez,Pass
LAB-00560,CMP-0124,Selectivity Panel,42.9,% selectivity,2025-03-30,Christopher Hill,Pass
LAB-00561,CMP-0045,Cell Viability Assay,24.8,% viability,2023-03-11,Alexa Williams,Pass
LAB-00562,CMP-0134,Binding Affinity (SPR),0.47,nM (Kd),2025-11-04,Kyle Watson,Pass
LAB-00563,CMP-0019,Selectivity Panel,49.8,% selectivity,2023-01-26,Brandon Montgomery,Fail
LAB-00564,CMP-0087,Selectivity Panel,82.8,% selectivity,2026-06-08,Lori Brown DDS,Pass
LAB-00565,CMP-0103,Solubility Assay,11.21,mg/mL,2025-07-07,Beth Hall,Pass
LAB-00566,CMP-0001,hERG Cardiotoxicity Screen,15.6,% inhibition at 10uM,2026-08-21,Nicole Trujillo,Pass
LAB-00567,CMP-0028,Cell Viability Assay,94.3,% viability,2024-06-19,Michael Howard,Pass
LAB-00568,CMP-0041,Metabolic Stability (Microsomal),170.7,min (t1/2),2023-04-02,Karina Kim,Fail
LAB-00569,CMP-0129,Binding Affinity (SPR),3.92,nM (Kd),2023-11-22,Cheryl Lopez,Pass
LAB-00570,CMP-0148,Binding Affinity (SPR),1.74,nM (Kd),2024-02-07,Denise Guerra,Pass
LAB-00571,CMP-0057,hERG Cardiotoxicity Screen,35.8,% inhibition at 10uM,2026-05-15,Andrea Moore,Pass
LAB-00572,CMP-0025,Enzymatic Inhibition Assay,12.16,nM (IC50),2023-11-23,Jacob Smith,Pass
LAB-00573,CMP-0129,Enzymatic Inhibition Assay,4.42,nM (IC50),2025-04-06,Cody Smith,Pass
LAB-00574,CMP-0014,Pharmacokinetic (PK) Study,11.94,hours (t1/2),2026-02-19,Cynthia Le,Pass
LAB-00575,CMP-0065,Enzymatic Inhibition Assay,14.85,nM (IC50),2025-05-06,Jasmine Warren,Pass
LAB-00576,CMP-0038,hERG Cardiotoxicity Screen,36.3,% inhibition at 10uM,2024-09-13,Lisa Morris,Pass
LAB-00577,CMP-0021,hERG Cardiotoxicity Screen,30.3,% inhibition at 10uM,2025-04-10,Joseph Jones,Pass
LAB-00578,CMP-0098,Metabolic Stability (Microsomal),80.8,min (t1/2),2026-01-19,Shane Harris,Pass
LAB-00579,CMP-0141,Selectivity Panel,1.8,% selectivity,2024-08-26,Kenneth Huff,Pass
LAB-00580,CMP-0040,Selectivity Panel,20.1,% selectivity,2025-05-05,Meredith Scott,Pass
LAB-00581,CMP-0088,Metabolic Stability (Microsomal),170.8,min (t1/2),2024-03-05,Andrea Conrad,Pass
LAB-00582,CMP-0129,Enzymatic Inhibition Assay,34.63,nM (IC50),2023-07-19,Steve Miller PhD,Pass
LAB-00583,CMP-0098,Solubility Assay,9.38,mg/mL,2022-12-15,Teresa Perry,Pass
LAB-00584,CMP-0015,hERG Cardiotoxicity Screen,81.4,% inhibition at 10uM,2024-03-09,Samantha Baker,Pass
LAB-00585,CMP-0006,Cell Viability Assay,16.4,% viability,2022-11-16,Eric Blackburn,Pass
LAB-00586,CMP-0050,Solubility Assay,5.78,mg/mL,2026-07-21,Neil Schmidt,Pass
LAB-00587,CMP-0034,Solubility Assay,0.2,mg/mL,2023-06-21,Danielle Garrett,Pass
LAB-00588,CMP-0047,hERG Cardiotoxicity Screen,79.7,% inhibition at 10uM,2023-06-06,Jennifer Garcia,Pass
LAB-00589,CMP-0142,hERG Cardiotoxicity Screen,40.3,% inhibition at 10uM,2025-04-07,Jimmy Ortega,Fail
LAB-00590,CMP-0104,Binding Affinity (SPR),4.17,nM (Kd),2026-03-29,Christopher Morales,Pass
LAB-00591,CMP-0139,Metabolic Stability (Microsomal),45.4,min (t1/2),2024-01-23,Zachary Ramos,Pass
LAB-00592,CMP-0053,Pharmacokinetic (PK) Study,20.02,hours (t1/2),2024-02-14,William Nguyen,Pass
LAB-00593,CMP-0051,Selectivity Panel,18.4,% selectivity,2024-03-13,Jessica Swanson,Pass
LAB-00594,CMP-0080,hERG Cardiotoxicity Screen,3.3,% inhibition at 10uM,2025-02-22,Cindy Cannon,Pass
LAB-00595,CMP-0099,Metabolic Stability (Microsomal),11.7,min (t1/2),2026-06-01,Tyrone West,Pass
LAB-00596,CMP-0118,Enzymatic Inhibition Assay,3.63,nM (IC50),2024-04-19,Victoria Larson,Pass
LAB-00597,CMP-0126,Binding Affinity (SPR),4.8,nM (Kd),2024-10-12,Elizabeth Evans MD,Pass
LAB-00598,CMP-0012,Binding Affinity (SPR),1.31,nM (Kd),2026-02-18,Rodney Norris,Pass
LAB-00599,CMP-0118,Selectivity Panel,7.9,% selectivity,2023-10-25,Kristie Howe,Pass
LAB-00600,CMP-0041,Solubility Assay,5.05,mg/mL,2023-05-01,Henry Taylor,Pass
LAB-00601,CMP-0066,Pharmacokinetic (PK) Study,2.48,hours (t1/2),2024-03-06,Crystal Shepherd,Pass
LAB-00602,CMP-0030,Pharmacokinetic (PK) Study,6.07,hours (t1/2),2023-01-30,Thomas Navarro,Pass
LAB-00603,CMP-0046,Selectivity Panel,62.0,% selectivity,2025-08-09,Carrie Petersen,Fail
LAB-00604,CMP-0076,hERG Cardiotoxicity Screen,61.5,% inhibition at 10uM,2025-06-20,Susan Larson,Pass
LAB-00605,CMP-0054,Pharmacokinetic (PK) Study,14.02,hours (t1/2),2023-11-30,Laura Miller,Pass
LAB-00606,CMP-0063,Solubility Assay,1.93,mg/mL,2022-12-08,Hannah Montoya,Pass
LAB-00607,CMP-0060,Binding Affinity (SPR),0.2,nM (Kd),2024-05-18,Sheila Perez,Pass
LAB-00608,CMP-0019,hERG Cardiotoxicity Screen,29.1,% inhibition at 10uM,2025-04-28,Alexandra Waters,Pass
LAB-00609,CMP-0054,Solubility Assay,0.47,mg/mL,2024-03-29,Andrew Fernandez,Pass
LAB-00610,CMP-0033,hERG Cardiotoxicity Screen,98.7,% inhibition at 10uM,2023-04-24,Connie Williams,Pass
LAB-00611,CMP-0059,Cell Viability Assay,18.2,% viability,2025-08-21,Jeremy Larson,Pass
LAB-00612,CMP-0142,Cell Viability Assay,5.5,% viability,2024-09-23,Dylan Foster,Pass
LAB-00613,CMP-0072,Binding Affinity (SPR),2.5,nM (Kd),2023-03-29,Kenneth Williams,Pass
LAB-00614,CMP-0023,Metabolic Stability (Microsomal),40.8,min (t1/2),2024-04-22,Jonathan Ayala,Pass
LAB-00615,CMP-0097,Metabolic Stability (Microsomal),18.4,min (t1/2),2023-03-27,Justin Freeman,Fail
LAB-00616,CMP-0103,Pharmacokinetic (PK) Study,10.26,hours (t1/2),2025-04-27,Luis Fitzgerald,Fail
LAB-00617,CMP-0024,Binding Affinity (SPR),0.98,nM (Kd),2023-09-12,Ricardo Morris,Pass
LAB-00618,CMP-0069,Selectivity Panel,94.3,% selectivity,2026-05-29,Michael Henderson,Fail
LAB-00619,CMP-0134,Pharmacokinetic (PK) Study,21.65,hours (t1/2),2024-02-08,Kirk Johnson,Pass
LAB-00620,CMP-0101,Selectivity Panel,75.8,% selectivity,2023-12-07,Lisa Branch MD,Pass
LAB-00621,CMP-0148,Pharmacokinetic (PK) Study,10.88,hours (t1/2),2023-04-18,Robert Gonzalez,Pass
LAB-00622,CMP-0065,Enzymatic Inhibition Assay,1.77,nM (IC50),2024-03-16,Sarah Rodriguez,Fail
LAB-00623,CMP-0087,hERG Cardiotoxicity Screen,85.9,% inhibition at 10uM,2022-12-06,Tammy Melton,Fail
LAB-00624,CMP-0011,Pharmacokinetic (PK) Study,21.32,hours (t1/2),2025-12-28,Michael Rodriguez,Pass
LAB-00625,CMP-0133,Pharmacokinetic (PK) Study,12.13,hours (t1/2),2024-07-06,Daniel Medina,Pass
LAB-00626,CMP-0088,Cell Viability Assay,85.0,% viability,2023-07-12,Deanna Webb,Fail
LAB-00627,CMP-0075,Metabolic Stability (Microsomal),32.4,min (t1/2),2025-08-18,Michael Smith,Pass
LAB-00628,CMP-0055,Metabolic Stability (Microsomal),71.6,min (t1/2),2025-01-16,Amanda Jackson,Pass
LAB-00629,CMP-0001,Selectivity Panel,12.6,% selectivity,2023-11-06,Lisa Brown,Pass
LAB-00630,CMP-0065,Enzymatic Inhibition Assay,4.29,nM (IC50),2025-04-30,James Nelson,Pass
LAB-00631,CMP-0059,Solubility Assay,1.83,mg/mL,2026-02-13,Sharon Smith,Pass
LAB-00632,CMP-0048,Solubility Assay,2.25,mg/mL,2026-03-07,Crystal James,Pass
LAB-00633,CMP-0073,Binding Affinity (SPR),5.55,nM (Kd),2026-08-13,Ethan Delacruz,Fail
LAB-00634,CMP-0112,Enzymatic Inhibition Assay,7.34,nM (IC50),2024-11-02,Jonathan Ellis,Pass
LAB-00635,CMP-0038,Binding Affinity (SPR),8.59,nM (Kd),2026-06-01,David Moreno,Pass
LAB-00636,CMP-0022,Solubility Assay,5.37,mg/mL,2024-01-18,Christopher Reed,Pass
LAB-00637,CMP-0014,Cell Viability Assay,33.6,% viability,2024-02-13,Cynthia Good,Pass
LAB-00638,CMP-0147,hERG Cardiotoxicity Screen,28.8,% inhibition at 10uM,2024-09-18,Lori Johns,Fail
LAB-00639,CMP-0095,Enzymatic Inhibition Assay,0.99,nM (IC50),2026-04-09,Alyssa Peters,Pass
LAB-00640,CMP-0077,hERG Cardiotoxicity Screen,26.3,% inhibition at 10uM,2023-11-01,Steven Sandoval,Pass
LAB-00641,CMP-0078,Solubility Assay,0.16,mg/mL,2023-01-24,Tyler Salazar,Pass
LAB-00642,CMP-0099,Pharmacokinetic (PK) Study,1.98,hours (t1/2),2025-03-19,David Hernandez,Pass
LAB-00643,CMP-0041,Selectivity Panel,7.5,% selectivity,2026-08-04,Erin Daniels,Pass
LAB-00644,CMP-0072,Binding Affinity (SPR),1.88,nM (Kd),2023-07-16,Joshua Mcbride,Fail
LAB-00645,CMP-0086,Metabolic Stability (Microsomal),109.6,min (t1/2),2026-02-28,Michael Mills,Fail
LAB-00646,CMP-0147,Binding Affinity (SPR),1.32,nM (Kd),2023-04-03,Vanessa Thomas DVM,Pass
LAB-00647,CMP-0097,Pharmacokinetic (PK) Study,13.95,hours (t1/2),2026-05-18,Justin Fry,Fail
LAB-00648,CMP-0077,Enzymatic Inhibition Assay,10.5,nM (IC50),2023-03-09,Shawn Acosta,Pass
LAB-00649,CMP-0015,Pharmacokinetic (PK) Study,7.81,hours (t1/2),2025-10-09,Jennifer Jenkins,Fail
LAB-00650,CMP-0112,Enzymatic Inhibition Assay,2.4,nM (IC50),2024-06-25,Stephanie Mahoney,Pass
LAB-00651,CMP-0110,hERG Cardiotoxicity Screen,14.4,% inhibition at 10uM,2023-10-22,Ashley Lopez,Pass
LAB-00652,CMP-0100,Enzymatic Inhibition Assay,12.69,nM (IC50),2025-10-05,Debra Bradley,Pass
LAB-00653,CMP-0039,Enzymatic Inhibition Assay,4.99,nM (IC50),2023-08-21,Michael Howard,Pass
LAB-00654,CMP-0061,Enzymatic Inhibition Assay,3.2,nM (IC50),2025-06-18,Jonathan Jacobs,Fail
LAB-00655,CMP-0003,Cell Viability Assay,35.0,% viability,2025-07-23,Samuel Henry,Pass
LAB-00656,CMP-0119,Metabolic Stability (Microsomal),36.8,min (t1/2),2023-04-06,Andrew Duran,Fail
LAB-00657,CMP-0003,hERG Cardiotoxicity Screen,1.5,% inhibition at 10uM,2022-10-09,Jason Newton,Pass
LAB-00658,CMP-0083,Pharmacokinetic (PK) Study,6.44,hours (t1/2),2026-08-30,Andrea Ho,Fail
LAB-00659,CMP-0115,Enzymatic Inhibition Assay,17.93,nM (IC50),2026-08-27,Katherine Nguyen,Pass
LAB-00660,CMP-0093,Cell Viability Assay,28.6,% viability,2024-07-17,Jared Williams,Pass
LAB-00661,CMP-0123,hERG Cardiotoxicity Screen,90.1,% inhibition at 10uM,2025-08-26,Erik Carr,Pass
LAB-00662,CMP-0113,Pharmacokinetic (PK) Study,16.81,hours (t1/2),2025-09-06,Kelly Liu,Pass
LAB-00663,CMP-0131,Cell Viability Assay,19.8,% viability,2025-11-09,Jocelyn Wilcox,Pass
LAB-00664,CMP-0002,Cell Viability Assay,72.8,% viability,2022-11-18,Kelly Foster PhD,Pass
LAB-00665,CMP-0096,Cell Viability Assay,34.7,% viability,2024-12-10,Lydia Williams,Pass
LAB-00666,CMP-0024,Binding Affinity (SPR),4.5,nM (Kd),2023-11-17,Eric Carey,Pass
LAB-00667,CMP-0020,Binding Affinity (SPR),2.72,nM (Kd),2024-07-22,Louis Brown,Pass
LAB-00668,CMP-0103,Metabolic Stability (Microsomal),119.0,min (t1/2),2024-10-11,Ronald Hayes,Pass
LAB-00669,CMP-0103,Enzymatic Inhibition Assay,50.97,nM (IC50),2025-08-08,Richard Pace,Pass
LAB-00670,CMP-0077,Binding Affinity (SPR),0.29,nM (Kd),2025-06-30,Jason Hayes,Pass
LAB-00671,CMP-0017,Selectivity Panel,69.9,% selectivity,2023-06-06,Michelle Harris,Pass
LAB-00672,CMP-0004,Enzymatic Inhibition Assay,11.87,nM (IC50),2024-07-12,Michael Meadows,Fail
LAB-00673,CMP-0054,Cell Viability Assay,71.8,% viability,2025-11-23,Becky Wilson,Pass
LAB-00674,CMP-0109,Selectivity Panel,49.1,% selectivity,2024-07-05,Joseph Cruz,Fail
LAB-00675,CMP-0136,Cell Viability Assay,32.6,% viability,2025-11-15,Tiffany Gray,Pass
LAB-00676,CMP-0067,Cell Viability Assay,80.2,% viability,2024-03-26,Susan Cunningham,Pass
LAB-00677,CMP-0127,Cell Viability Assay,66.7,% viability,2025-05-07,Sean White,Pass
LAB-00678,CMP-0056,Binding Affinity (SPR),4.0,nM (Kd),2025-07-23,Eric Mack,Pass
LAB-00679,CMP-0133,hERG Cardiotoxicity Screen,69.6,% inhibition at 10uM,2024-06-30,Autumn Anderson,Pass
LAB-00680,CMP-0100,Enzymatic Inhibition Assay,18.97,nM (IC50),2023-07-11,Dawn Ellis,Fail
LAB-00681,CMP-0042,Pharmacokinetic (PK) Study,1.61,hours (t1/2),2026-02-17,Abigail Andrade,Pass
LAB-00682,CMP-0003,hERG Cardiotoxicity Screen,50.7,% inhibition at 10uM,2023-08-31,Karen Ortiz,Pass
LAB-00683,CMP-0095,Solubility Assay,5.12,mg/mL,2023-01-11,Dana Kelley,Pass
LAB-00684,CMP-0110,Cell Viability Assay,14.2,% viability,2025-03-10,Samantha Williams,Fail
LAB-00685,CMP-0035,Enzymatic Inhibition Assay,19.55,nM (IC50),2023-04-22,Amanda Nash,Fail
LAB-00686,CMP-0144,Pharmacokinetic (PK) Study,3.96,hours (t1/2),2025-05-18,Elizabeth Knapp,Pass
LAB-00687,CMP-0025,Pharmacokinetic (PK) Study,10.97,hours (t1/2),2022-11-28,Christopher Powers,Pass
LAB-00688,CMP-0035,Selectivity Panel,84.9,% selectivity,2025-02-26,Linda Cobb,Pass
LAB-00689,CMP-0053,hERG Cardiotoxicity Screen,21.0,% inhibition at 10uM,2023-06-04,Kent Huynh,Pass
LAB-00690,CMP-0114,Cell Viability Assay,76.9,% viability,2023-01-31,Jacob Gray,Pass
LAB-00691,CMP-0146,Solubility Assay,1.31,mg/mL,2022-12-25,Joshua Carter,Fail
LAB-00692,CMP-0028,Metabolic Stability (Microsomal),104.3,min (t1/2),2023-04-02,Denise Rose,Pass
LAB-00693,CMP-0127,Selectivity Panel,8.3,% selectivity,2024-10-22,Lisa Rodriguez,Pass
LAB-00694,CMP-0040,Metabolic Stability (Microsomal),117.2,min (t1/2),2025-08-18,Victoria Webb,Pass
LAB-00695,CMP-0002,Selectivity Panel,13.5,% selectivity,2025-06-19,Victoria Mitchell,Pass
LAB-00696,CMP-0010,Pharmacokinetic (PK) Study,13.62,hours (t1/2),2025-02-22,Joseph Carney,Fail
LAB-00697,CMP-0121,Enzymatic Inhibition Assay,13.86,nM (IC50),2024-02-16,Justin Stone,Pass
LAB-00698,CMP-0096,Pharmacokinetic (PK) Study,12.91,hours (t1/2),2025-03-28,Christopher Lynch DDS,Fail
LAB-00699,CMP-0068,Selectivity Panel,56.4,% selectivity,2026-08-17,Alexander Garrett,Pass
LAB-00700,CMP-0039,Selectivity Panel,33.4,% selectivity,2023-03-09,Rebecca Duarte,Fail
LAB-00701,CMP-0041,Metabolic Stability (Microsomal),71.8,min (t1/2),2024-05-14,Justin Walsh,Pass
LAB-00702,CMP-0053,Enzymatic Inhibition Assay,5.93,nM (IC50),2022-10-04,Douglas Tyler,Pass
LAB-00703,CMP-0113,Pharmacokinetic (PK) Study,12.01,hours (t1/2),2023-12-11,Erica Smith,Pass
LAB-00704,CMP-0101,Selectivity Panel,25.1,% selectivity,2025-06-15,Nathaniel Gilbert,Fail
LAB-00705,CMP-0143,Metabolic Stability (Microsomal),173.0,min (t1/2),2022-10-30,Gary Morgan,Pass
LAB-00706,CMP-0055,Cell Viability Assay,86.1,% viability,2025-05-26,Rebecca Brewer,Pass
LAB-00707,CMP-0099,Solubility Assay,3.78,mg/mL,2024-08-20,Stephanie Herrera,Fail
LAB-00708,CMP-0127,Binding Affinity (SPR),0.92,nM (Kd),2024-01-20,Jennifer Newton,Pass
LAB-00709,CMP-0059,Solubility Assay,5.17,mg/mL,2026-01-19,Nathaniel Stewart,Pass
LAB-00710,CMP-0004,Cell Viability Assay,21.1,% viability,2024-11-08,Michael Marsh,Pass
LAB-00711,CMP-0003,Binding Affinity (SPR),6.89,nM (Kd),2026-04-06,Wayne Ramirez,Pass
LAB-00712,CMP-0112,Metabolic Stability (Microsomal),167.2,min (t1/2),2022-11-02,Miss Sarah Duncan,Fail
LAB-00713,CMP-0129,Enzymatic Inhibition Assay,15.59,nM (IC50),2024-04-08,Sharon Walton,Fail
LAB-00714,CMP-0035,Pharmacokinetic (PK) Study,9.88,hours (t1/2),2025-07-13,Andres Gutierrez,Pass
LAB-00715,CMP-0133,Selectivity Panel,24.6,% selectivity,2024-09-12,Jesse Sampson,Pass
LAB-00716,CMP-0038,Pharmacokinetic (PK) Study,19.27,hours (t1/2),2023-07-30,Brian Glover,Fail
LAB-00717,CMP-0136,Selectivity Panel,37.9,% selectivity,2025-10-27,Jill Johnson,Pass
LAB-00718,CMP-0053,Solubility Assay,0.32,mg/mL,2024-08-22,Cheryl Mclean,Pass
LAB-00719,CMP-0140,Enzymatic Inhibition Assay,7.37,nM (IC50),2025-08-22,Patricia Thomas,Pass
LAB-00720,CMP-0129,Metabolic Stability (Microsomal),99.0,min (t1/2),2026-03-13,Teresa Rhodes,Pass
LAB-00721,CMP-0043,Binding Affinity (SPR),2.94,nM (Kd),2023-03-30,Julia Reeves,Fail
LAB-00722,CMP-0077,Selectivity Panel,75.9,% selectivity,2024-10-19,Timothy Mcdaniel,Pass
LAB-00723,CMP-0112,Selectivity Panel,58.1,% selectivity,2025-02-01,John Williams,Fail
LAB-00724,CMP-0133,Selectivity Panel,33.7,% selectivity,2024-10-17,Emily Lane,Pass
LAB-00725,CMP-0113,Cell Viability Assay,78.6,% viability,2023-12-17,Erica Lee,Pass
LAB-00726,CMP-0072,Enzymatic Inhibition Assay,8.22,nM (IC50),2023-10-26,Jeremy Wilson,Fail
LAB-00727,CMP-0059,Metabolic Stability (Microsomal),83.4,min (t1/2),2023-04-24,Adrian Dean,Fail
LAB-00728,CMP-0065,Enzymatic Inhibition Assay,3.85,nM (IC50),2024-10-07,Gregory Flores,Pass
LAB-00729,CMP-0093,hERG Cardiotoxicity Screen,2.7,% inhibition at 10uM,2023-04-12,Diane Sanchez,Pass
LAB-00730,CMP-0071,Binding Affinity (SPR),9.49,nM (Kd),2022-12-31,Gina Wallace,Pass
LAB-00731,CMP-0093,Selectivity Panel,30.7,% selectivity,2023-03-26,Michael Rodriguez,Pass
LAB-00732,CMP-0035,Solubility Assay,1.09,mg/mL,2022-12-05,Christopher Carlson,Pass
LAB-00733,CMP-0013,Binding Affinity (SPR),3.14,nM (Kd),2025-01-30,Melissa Jensen,Pass
LAB-00734,CMP-0083,Solubility Assay,1.63,mg/mL,2023-12-18,Michelle Lambert,Pass
LAB-00735,CMP-0099,Selectivity Panel,91.2,% selectivity,2024-11-04,Nicole Owens,Pass
LAB-00736,CMP-0042,Solubility Assay,8.95,mg/mL,2023-03-29,Tamara Mcdonald,Pass
LAB-00737,CMP-0108,Cell Viability Assay,60.9,% viability,2024-07-14,Michelle Marshall,Fail
LAB-00738,CMP-0060,Binding Affinity (SPR),0.4,nM (Kd),2023-08-22,Scott Jensen,Fail
LAB-00739,CMP-0006,Solubility Assay,0.4,mg/mL,2026-05-12,Michael Ortega,Pass
LAB-00740,CMP-0145,hERG Cardiotoxicity Screen,15.7,% inhibition at 10uM,2025-11-12,Jody Johnson,Pass
LAB-00741,CMP-0055,Solubility Assay,1.23,mg/mL,2024-08-11,Joel Jackson,Pass
LAB-00742,CMP-0103,Enzymatic Inhibition Assay,4.34,nM (IC50),2025-10-13,Bethany Garcia,Pass
