compound_id,compound_name,chemical_class,therapeutic_area,target_protein,mechanism_of_action,discovery_phase,molecular_weight_da,solubility_mg_ml,toxicity_score,lead_scientist,synthesis_date,created_at
CMP-0129,PSA-1128,PROTAC,Metabolic Disease,PCSK9,"Covalent inhibitor of PCSK9, irreversibly disabling enzymatic activity.",Phase I,492.93,4.275,0.599,Joshua Cooke,2021-03-13,2021-03-17
CMP-0130,DKU-1129,Kinase Inhibitor,Oncology,PCSK9,"Allosteric modulator of PCSK9, reducing pathological receptor activation.",Preclinical,296.31,6.232,0.367,Rachael Pearson,2022-10-13,2022-10-23
CMP-0131,VLX-1130,Monoclonal Antibody,Oncology,NLRP3,"Competitive antagonist at the NLRP3 binding site, restoring normal pathway flux.",Phase I,1288.64,3.294,0.218,Christina Smith,2025-03-05,2025-03-24
CMP-0132,VLX-1131,siRNA Therapeutic,Cardiology,VEGFR2,"Selective inhibitor of VEGFR2, blocking downstream proliferative signaling.",Preclinical,801.57,0.625,0.338,Michael Elliott,2021-08-12,2021-09-01
CMP-0133,DKU-1132,Peptide,Infectious Disease,JAK2,"Covalent inhibitor of JAK2, irreversibly disabling enzymatic activity.",Phase I,1342.67,0.086,0.223,Pamela Jackson,2022-01-01,2022-01-15
CMP-0134,PSA-1133,PROTAC,Cardiology,ALK,"Selective inhibitor of ALK, blocking downstream proliferative signaling.",Approved,782.25,4.952,0.146,Ashley Weiss,2024-04-21,2024-04-22
CMP-0135,DKU-1134,Antisense Oligonucleotide,Cardiology,GLP-1R,"Competitive antagonist at the GLP-1R binding site, restoring normal pathway flux.",Phase I,472.11,0.321,0.235,Alexander Collins,2026-06-03,2026-06-18
CMP-0136,SNF-1135,PROTAC,Infectious Disease,TNF-alpha,"Competitive antagonist at the TNF-alpha binding site, restoring normal pathway flux.",Discovery,580.42,1.939,0.316,Jennifer Espinoza,2024-09-20,2024-09-29
CMP-0137,AGN-1136,Antisense Oligonucleotide,Respiratory,KRAS G12C,"Competitive antagonist at the KRAS G12C binding site, restoring normal pathway flux.",Phase II,475.86,0.062,0.049,Lori Garcia,2021-02-28,2021-03-19
CMP-0138,SNF-1137,siRNA Therapeutic,Oncology,HER2,"Allosteric modulator of HER2, reducing pathological receptor activation.",Discontinued,625.4,3.644,0.117,Lindsay Martinez,2025-04-14,2025-04-23
CMP-0139,AGN-1138,Kinase Inhibitor,Infectious Disease,SGLT2,"Monoclonal antibody that binds SGLT2, triggering immune-mediated cell death.",Discontinued,1155.71,1.352,0.245,Hannah Patterson,2026-07-15,2026-07-28
CMP-0140,AGN-1139,siRNA Therapeutic,Cardiology,CDK4/6,"Selective inhibitor of CDK4/6, blocking downstream proliferative signaling.",Preclinical,544.79,0.879,0.343,Gloria Atkinson,2022-11-27,2022-12-03
CMP-0141,RX-1140,siRNA Therapeutic,Cardiology,mTOR,"Monoclonal antibody that binds mTOR, triggering immune-mediated cell death.",Phase II,457.18,7.487,0.273,Tyler Reid,2025-07-30,2025-08-10
CMP-0142,VLX-1141,Peptide,Infectious Disease,HER2,"Covalent inhibitor of HER2, irreversibly disabling enzymatic activity.",Approved,773.6,2.376,0.118,Jessica Gross,2025-08-13,2025-08-14
CMP-0143,DKU-1142,Monoclonal Antibody,Metabolic Disease,BRAF,"Monoclonal antibody that binds BRAF, triggering immune-mediated cell death.",Phase I,472.95,0.486,0.252,Robert Medina,2026-06-05,2026-06-19
CMP-0144,SNF-1143,PROTAC,Immunology,mTOR,"Covalent inhibitor of mTOR, irreversibly disabling enzymatic activity.",Discovery,1410.76,5.381,0.092,Nicholas Adams,2023-07-29,2023-08-14
CMP-0145,DKU-1144,Peptide,Neurology,SGLT2,"Selective inhibitor of SGLT2, blocking downstream proliferative signaling.",Discovery,1216.11,0.635,0.072,Angelica Keith,2025-10-02,2025-10-15
CMP-0146,VLX-1145,Kinase Inhibitor,Cardiology,VEGFR2,"Allosteric modulator of VEGFR2, reducing pathological receptor activation.",Discovery,1294.38,0.772,0.334,Leonard Gray,2022-02-26,2022-03-14
CMP-0147,RX-1146,Antisense Oligonucleotide,Metabolic Disease,KRAS G12C,"Covalent inhibitor of KRAS G12C, irreversibly disabling enzymatic activity.",Phase I,290.47,1.313,0.21,Catherine Lewis,2020-11-18,2020-12-06
CMP-0148,VLX-1147,Antisense Oligonucleotide,Cardiology,CDK4/6,"Allosteric modulator of CDK4/6, reducing pathological receptor activation.",Discovery,459.63,2.874,0.113,Spencer Haynes,2025-06-07,2025-06-17
CMP-0149,DKU-1148,PROTAC,Neurology,HER2,"Monoclonal antibody that binds HER2, triggering immune-mediated cell death.",Phase I,1227.34,1.069,0.589,Travis Miller,2022-05-07,2022-05-18
CMP-0150,PSA-1149,siRNA Therapeutic,Metabolic Disease,JAK2,Degrader that recruits JAK2 to the ubiquitin-proteasome system for clearance.,Phase III,1016.23,4.753,0.229,Peter Vaughn DDS,2024-12-21,2024-12-27
